film_number,title,release_date,budget,box_office,run_time,imdb,metascore,rotten_tomatoes
2,Pinocchio,1940-02-07,2600000,164000000,88,7.4,99,100%
26,"Davy Crockett, King of the Wild Frontier",1955-05-25,,2150000,92,7,N/A,100%
36,Old Yeller,1957-12-25,,6250000,83,7.3,84,100%
42,Darby O'Gill and the Little People,1959-06-24,,,93,7.2,N/A,100%
54,Greyfriars Bobby,1961-07-17,,,91,7.3,N/A,100%
72,Mary Poppins,1964-08-27,4400000,103100000,139,7.8,88,100%
129,The Many Adventures of,1977-03-11,,,74,7.6,N/A,100%
158,Never Cry Wolf,1983-10-07,11000000,27600000,105,7.5,N/A,100%
207,Toy Story,1995-11-19,30000000,373600000,81,8.3,95,100%
232,Endurance,1999-02-05,,,83,7.4,N/A,100%
236,Toy Story 2,1999-11-13,90000000,497400000,92,7.9,88,100%
240,The Kid,2000-07-07,65000000,110300000,104,8.3,N/A,100%
262,Finding Nemo,2003-05-30,94000000,940300000,100,8.1,90,99%
5,Dumbo,1941-10-23,950000,1300000,64,7.2,96,98%
50,One Hundred and One Dalmatians,1961-01-25,3600000,303000000,79,7.2,83,98%
320,Up,2009-05-29,175000000,735100000,96,8.2,88,98%
332,Toy Story 3,2010-06-12,200000000,1067000000,103,8.3,92,98%
377,Inside Out,2015-05-18,175000000,858000000,94,8.1,94,98%
381,Zootopia,2016-02-13,150000000,1024000000,108,8,78,98%
405,Dumbo,2019-03-11,170000000,353300000,112,7.2,96,98%
398,Coco,2017-10-20,175000000,807100000,105,8.4,81,97%
408,Toy Story 4,2019-06-11,200000000,1073000000,100,7.8,84,97%
248,"Monsters, Inc.",2001-10-28,115000000,577400000,92,8,79,96%
301,Ratatouille,2007-06-22,150000000,620700000,111,8,96,96%
3,Fantasia,1940-11-13,2280000,83300000,126,7.8,96,95%
149,Amy,1981-03-20,,,100,7.8,85,95%
181,Aladdin,1992-11-25,28000000,504100000,90,8,86,95%
235,The Straight Story,,10000000,6200000,112,8,86,95%
296,The Nightmare Before Christmas,1993-10-29,18000000,89100000,76,8,82,95%
310,WALL-E,2008-06-23,180000000,533300000,97,8.4,95,95%
349,The Muppets,2011-11-04,45000000,165200000,103,7.1,75,95%
389,Moana,2016-11-14,150000000,690800000,107,7.6,81,95%
407,Aladdin,2019-05-08,183000000,,128,8,86,95%
15,The Adventures of Ichabod and Mr. Toad,1949-10-05,,1625000,68,7,74,94%
76,That Darn Cat!,1965-12-02,,28068222,116,6.8,71,94%
84,The Jungle Book,1967-10-18,4000000,378000000,78,7.4,77,94%
177,Beauty and the Beast,1991-09-29,25000000,440100000,84,8,95,94%
382,The Jungle Book,2016-04-04,175000000,966600000,106,7.4,77,94%
385,Finding Dory,2016-06-08,175000000,1029000000,97,7.3,77,94%
391,March of the Penguins,2005-01-26,8000000,127400000,80,7.5,79,94%
392,Beauty and the Beast,2017-02-23,160000000,1264000000,129,8,95,94%
27,Lady and the Tramp,1955-06-22,4000000,187000000,76,7.3,78,93%
170,The Little Mermaid,1989-11-17,40000000,,83,7.6,88,93%
193,The Lion King,1994-06-15,45000000,968500000,88,8.5,88,93%
305,Enchanted,2007-10-20,85000000,340500000,107,7,75,93%
375,Monkey Kingdom,2015-04-17,5000000,17100000,82,7.3,72,93%
388,Queen of Katwe,2016-09-10,15000000,10400000,124,7.4,73,93%
400,Incredibles 2,2018-06-05,200000000,1243000000,118,7.6,80,93%
409,The Lion King,2019-07-09,250000000,1657000000,118,8.5,88,93%
