film_number,title,release_date,budget,box_office,run_time,imdb,metascore,rotten_tomatoes,Flop
388,"Queen of Katwe","2016-09-10 00:00:00",15000000,10400000,124,7.4,73,93%,-4600000
211,"James and the Giant Peach","1996-04-12 00:00:00",38000000,28900000,79,6.7,78,91%,-9100000
133,"Pete's Dragon","1977-11-03 00:00:00",10000000,36,128,6.7,71,88%,-9999964
171,"DuckTales the Movie: Treasure of the Lost Lamp","1990-08-03 00:00:00",20000000,18100000,69,6.9,N/A,88%,-1900000
416,Onward,"2020-02-21 00:00:00",175000000,136400000,102,7.4,61,88%,-38600000
268,"Teacher's Pet","2004-01-16 00:00:00",10000000,6500000,74,7.1,N/A,86%,-3500000
425,Mulan,"2020-03-09 00:00:00",200000000,57000000,115,7.6,71,86%,-143000000
150,Dragonslayer,"1981-06-26 00:00:00",18000000,14100000,109,6.7,68,84%,-3900000
43,"Third Man on the Mountain","1959-11-10 00:00:00",2000000,1700000,105,7.2,N/A,76%,-300000
256,"Treasure Planet","2002-11-27 00:00:00",140000000,109600000,95,7.2,60,69%,-30400000
285,"The Greatest Game Ever Played","2005-09-30 00:00:00",25000000,15400000,120,7.4,55,63%,-9600000
380,"The Finest Hours","2016-01-25 00:00:00",70000000,52100000,117,6.8,58,63%,-17900000
157,"Something Wicked This Way Comes","1983-04-29 00:00:00",19000000,8400000,95,6.8,N/A,60%,-10600000
229,"Mighty Joe Young","1998-12-25 00:00:00",90000000,50600000,114,5.6,51,54%,-39400000
159,"Return to Oz","1985-06-21 00:00:00",28000000,11100000,113,6.7,42,53%,-16900000
160,"The Black Cauldron","1985-07-26 00:00:00",25000000,21300000,80,6.4,59,53%,-3700000
350,"John Carter","2012-02-22 00:00:00",306600000,284100000,132,6.6,51,52%,-22500000
86,"The Happiest Millionaire","1967-06-23 00:00:00",5000000,5000000,164,6.8,N/A,50%,0
144,"The Watcher in the Woods","1980-04-17 00:00:00",9000000,5000000,84,6.3,N/A,50%,-4000000
200,"Tall Tale","1995-03-24 00:00:00",32000000,11000000,98,5.9,N/A,50%,-21000000
318,"Hannah Montana: The Movie","2009-04-10 00:00:00",30000000,169,97,4.5,47,43%,-29999831
178,Newsies,"1992-04-10 00:00:00",15000000,2800000,121,7,46,39%,-12200000
342,"Mars Needs Moms","2011-03-11 00:00:00",150000000,39200000,88,5.4,49,37%,-110800000
21,"The Sword and the Rose","1953-08-08 00:00:00",2000000,1000000,92,6.4,N/A,35%,-1000000
273,"Around the World in 80 Days","2004-06-13 00:00:00",110000000,72200000,120,5.9,49,32%,-37800000
253,"The Country Bears","2002-07-21 00:00:00",35000000,18000000,88,4.1,37,31%,-17000000
247,"Max Keeble's Big Move","2001-10-05 00:00:00",25000000,18600000,86,5.4,40,29%,-6400000
227,"I'll Be Home for Christmas","1998-11-13 00:00:00",30000000,12200000,86,5.5,N/A,23%,-17800000
230,"My Favorite Martian","1999-02-12 00:00:00",65000000,36800000,93,5.1,33,12%,-28200000
223,"Mr. Magoo","1997-12-25 00:00:00",30000000,28900000,87,4,18,7%,-1100000
224,"Meet the Deedles","1998-03-27 00:00:00",24000000,4400000,93,4.1,N/A,7%,-19600000
204,"A Kid in King Arthur's Court","1995-08-11 00:00:00",15000000,13400000,89,4.7,34,5%,-1600000
221,RocketMan,"1997-10-10 00:00:00",16000000,15400000,95,7.3,69,,-600000
